Year,Keyword,R,Python,Java,Scala,Url
2013,spark,-,33,85,67,https://github.com/search?utf8=%E2%9C%93&q=spark+created%3A2013-01-01..2013-12-31&type=Repositories&ref=searchresults
2014,spark,-,148,375,553,https://github.com/search?utf8=%E2%9C%93&q=spark+created%3A2014-01-01..2014-12-31&type=Repositories&ref=searchresults
2015,spark,-,668,1133,1702,https://github.com/search?utf8=%E2%9C%93&q=spark+created%3A2015-01-01..2015-12-31&type=Repositories&ref=searchresults
2016,spark,-,1088,2166,2906,https://github.com/search?utf8=%E2%9C%93&q=spark+created%3A2016-01-01..2016-12-31&type=Repositories&ref=searchresults
