Year,Keyword,R,Python,Java,Url
2013,Machine Learning,49,436,155,https://github.com/search?utf8=%E2%9C%93&q=machine+learning+created%3A2013-01-01..2013-12-31&type=Repositories&ref=searchresults
2014,Machine Learning,556,956,313,https://github.com/search?utf8=%E2%9C%93&q=machine+learning+created%3A2014-01-01..2014-12-31&type=Repositories&ref=searchresults
2015,Machine Learning,511,2114,529,https://github.com/search?utf8=%E2%9C%93&q=machine+learning+created%3A2015-01-01..2015-12-31&type=Repositories&ref=searchresults
2016,Machine Learning,691,4924,685,https://github.com/search?utf8=%E2%9C%93&q=machine+learning+created%3A2016-01-01..2016-12-23&type=Repositories&ref=searchresults
